
==== ALL BUSINESS API CALLS : Validate Revenue Report And Invoice Data ====
│────────│────────│─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────│
│ METHOD │ STATUS │ URL                                                                                                                                                                                                                                     │
│────────│────────│─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────│
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/wallet                                                                                                                                            │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/hubs?count=10000&geo_state=All                                                                                                                            │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/overview/transaction-count?start_time=2026-04-30T18%3A30%3A00.000Z&end_time=2026-05-14T18%3A29%3A59.999Z&status=&search=&zone_id=All&host_id=All  │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/withdrawal/withdrawal-count?start_time=2026-04-30T18%3A30%3A00.000Z&end_time=2026-05-14T18%3A29%3A59.999Z                                         │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/suspense/transaction-count?start_time=2026-04-30T18%3A30%3A00.000Z&end_time=2026-05-14T18%3A29%3A59.999Z&status=&search=                          │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/roaming/roaming-count?start_time=2026-04-30T18%3A30%3A00.000Z&end_time=2026-05-14T18%3A29%3A59.999Z&status=&search=                               │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/overview?start_time=2026-04-30T18%3A30%3A00.000Z&end_time=2026-05-14T18%3A29%3A59.999Z&status=&page=0&search=&zone_id=All&host_id=All             │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/revenue-stats?start_time=2026-04-30T18%3A30%3A00.000Z&fromDate=2026-04-30T18%3A30%3A00.000Z&toDate=2026-05-14T18%3A29%3A59.999Z&zone_id=All       │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/overview?start_time=2026-04-30T18%3A30%3A00.000Z&end_time=2026-05-14T18%3A29%3A59.999Z&status=1&page=0&zone_id=All&host_id=All                    │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/overview/transaction-count?start_time=2026-04-30T18%3A30%3A00.000Z&end_time=2026-05-14T18%3A29%3A59.999Z&status=1&search=&zone_id=All&host_id=All │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/overview/transaction-count?start_time=2026-05-12T18%3A30%3A00.000Z&end_time=2026-05-13T18%3A29%3A59.999Z&status=1&search=&zone_id=All&host_id=All │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/withdrawal/withdrawal-count?start_time=2026-05-12T18%3A30%3A00.000Z&end_time=2026-05-13T18%3A29%3A59.999Z                                         │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/suspense/transaction-count?start_time=2026-05-12T18%3A30%3A00.000Z&end_time=2026-05-13T18%3A29%3A59.999Z&status=1&search=                         │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/roaming/roaming-count?start_time=2026-05-12T18%3A30%3A00.000Z&end_time=2026-05-13T18%3A29%3A59.999Z&status=1&search=                              │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/revenue-stats?start_time=2026-05-12T18%3A30%3A00.000Z&fromDate=2026-05-12T18%3A30%3A00.000Z&toDate=2026-05-13T18%3A29%3A59.999Z&zone_id=All       │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/overview?start_time=2026-05-12T18%3A30%3A00.000Z&end_time=2026-05-13T18%3A29%3A59.999Z&status=1&page=0&zone_id=All&host_id=All                    │
│ GET    │ 200    │ https://novo.kazam.in/api/v2/org/ev_pump/3c30aea2-8e99-416e-803a-7c777a73e8f3/revenue/invoice/get-invoice-details?invoice_id=947409123435                                                                                               │
│────────│────────│─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────│

